DATE,PTEAUSDA
1990-01-01,203.206666310628
1991-01-01,184.235902150472
1992-01-01,199.741208394369
1993-01-01,185.635239919027
1994-01-01,183.319149017334
1995-01-01,164.156005859375
1996-01-01,177.165243784587
1997-01-01,237.188967386882
1998-01-01,238.562549591064
1999-01-01,232.356666666667
2000-01-01,248.116666666667
2001-01-01,198.123333333333
2002-01-01,179.1875
2003-01-01,194.325833333333
2004-01-01,198.150833333333
2005-01-01,216.379166666667
2006-01-01,241.7
2007-01-01,211.929166666667
2008-01-01,269.505833333333
2009-01-01,313.956666666667
2010-01-01,316.73722551603
2011-01-01,346.160561358931
2012-01-01,348.915124489198
2013-01-01,265.601257303888
2014-01-01,237.857553071084
2015-01-01,340.386677800782
2016-01-01,287.429518288475
2017-01-01,362.201460886473
2018-01-01,298.260145948972
2019-01-01,268.27633410535
2020-01-01,253.933118366121
